Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,771.340027,771.340027,771.340027,771.340027,421.891693,0.0
2000-01-04,750.070007,750.070007,750.070007,750.070007,410.257843,3375133.0
2000-01-05,720.372009,720.372009,720.372009,720.372009,394.014221,4433607.0
2000-01-06,671.812012,671.812012,671.812012,671.812012,367.453949,5175681.0
2000-01-07,677.43103,677.43103,677.43103,677.43103,370.527222,3831037.0
2000-01-10,692.68103,692.68103,692.68103,692.68103,378.868469,1866993.0
2000-01-11,664.588013,664.588013,664.588013,664.588013,363.502686,2489263.0
2000-01-12,695.892029,695.892029,695.892029,695.892029,380.624725,3151503.0
2000-01-13,705.52301,705.52301,705.52301,705.52301,385.892395,4733707.0
2000-01-14,723.583008,723.583008,723.583008,723.583008,395.770569,3006197.0
2000-01-17,716.359009,716.359009,716.359009,716.359009,391.819305,4394259.0
2000-01-18,685.05603,685.05603,685.05603,685.05603,374.697754,3733803.0
2000-01-19,664.98999,664.98999,664.98999,664.98999,363.722504,5918044.0
2000-01-20,624.857971,624.857971,624.857971,624.857971,341.771912,6825581.0
2000-01-21,664.588013,664.588013,664.588013,664.588013,363.502686,4017588.0
2000-01-24,655.758972,655.758972,655.758972,655.758972,358.673553,1743734.0
2000-01-25,641.312012,641.312012,641.312012,641.312012,350.771667,1875292.0
2000-01-26,686.26001,686.26001,686.26001,686.26001,375.356232,4534656.0
2000-01-27,681.44397,681.44397,681.44397,681.44397,372.722198,6183511.0
2000-01-28,649.73999,649.73999,649.73999,649.73999,355.381378,2693858.0
2000-01-31,618.838013,618.838013,618.838013,618.838013,338.479279,2808189.0
2000-02-01,628.468994,628.468994,628.468994,628.468994,343.74707,4402605.0
2000-02-02,638.502991,638.502991,638.502991,638.502991,349.235138,2886158.0
2000-02-03,654.95697,654.95697,654.95697,654.95697,358.234863,2924898.0
2000-02-04,617.633972,617.633972,617.633972,617.633972,337.820709,4584787.0
2000-02-07,593.955994,593.955994,593.955994,593.955994,324.869812,4285318.0
2000-02-08,661.778992,661.778992,661.778992,661.778992,361.966309,4638929.0
2000-02-09,634.890991,634.890991,634.890991,634.890991,347.259521,3580118.0
2000-02-10,612.015015,612.015015,612.015015,612.015015,334.747375,2041558.0
2000-02-11,579.507996,579.507996,579.507996,579.507996,316.967285,6068862.0
2000-02-14,551.013977,551.013977,551.013977,551.013977,301.382294,2860873.0
2000-02-15,540.179016,540.179016,540.179016,540.179016,295.456024,8117088.0
2000-02-16,572.685974,572.685974,572.685974,572.685974,313.236023,5976980.0
2000-02-17,600.778015,600.778015,600.778015,600.778015,328.601257,4500531.0
2000-02-18,617.231995,617.231995,617.231995,617.231995,337.600952,4432079.0
2000-02-21,606.396973,606.396973,606.396973,606.396973,331.67453,4688352.0
2000-02-22,570.278015,570.278015,570.278015,570.278015,311.918945,6827051.0
